"Distance [mm]","Voltage [V]"
7.992684,0.451055078635631
8.001746,0.446513850333094
8.010808,0.441940650137246
8.01987,0.437335478048087
8.028932,0.433156961654722
8.037994,0.429526878594182
8.047056,0.425889955995068
8.056118,0.422246193857379
8.06518,0.418595592181117
8.074242,0.41493815096628
8.083304,0.411273870212869
8.092366,0.407602749920884
8.101428,0.403924790090325
8.11049,0.400239990721191
8.119552,0.396548351813484
8.128614,0.392849873367202
8.137676,0.389144555382346
8.146738,0.385432397858915
8.1558,0.381713400796911
8.164862,0.377987564196332
8.173924,0.374254888057178
8.182986,0.370515372379451
8.192048,0.36676901716315
8.20111,0.363015822408274
8.210172,0.359255788114824
8.219234,0.3554889142828
8.228296,0.351715200912201
8.237358,0.347934648003029
8.24642,0.344147255555282
8.255482,0.340353023568961
8.264544,0.336551952044066
8.273606,0.332744040980597
8.282668,0.328929290378553
8.29173,0.325107700237935
8.300792,0.321279270558743
8.309854,0.317444001340976
8.318916,0.313601892584636
8.327978,0.309752944289721
8.33704,0.305897156456232
8.346102,0.302034529084169
8.355164,0.298165062173531
8.364226,0.294288755724319
8.373288,0.290405609736533
8.38235,0.286515624210173
8.391412,0.28261879914524
8.400474,0.278715134541731
8.409536,0.274804630399648
8.418598,0.270887286718991
8.42766,0.26696310349976
8.436722,0.263032080741955
8.445784,0.259094218445575
8.454846,0.255149516610621
8.463908,0.251197975237093
8.47297,0.24723959432499
8.482032,0.243274373874314
8.491094,0.239302313885063
8.500156,0.235323414357239
8.509218,0.23133767529084
8.51828,0.227345096685866
8.527342,0.223345678542319
8.536404,0.219339420860197
8.545466,0.215326323639501
8.554528,0.21130638688023
8.56359,0.207279610582386
8.572652,0.203245994745967
8.581714,0.199205539370974
8.590776,0.195158244457408
8.599838,0.19171056979983
8.6089,0.188282236910898
8.617962,0.184840676106307
8.627024,0.181385887386058
8.636086,0.177917870750151
8.645148,0.174436626198585
8.65421,0.170942153731361
8.663272,0.16743445334848
8.672334,0.163913525049939
8.681396,0.160379368835741
8.690458,0.156831984705884
8.69952,0.153271372660369
8.708582,0.149697532699196
8.717644,0.146110464822364
8.726706,0.142510169029875
8.735768,0.138896645321727
8.74483,0.13526989369792
8.753892,0.131629914158456
8.762954,0.127976706703333
8.772016,0.124310271332552
8.781078,0.120630608046113
8.79014,0.116937716844015
8.799202,0.113231597726259
8.808264,0.109512250692845
8.817326,0.105779675743773
8.826388,0.102033872879042
8.83545,0.0982748420986531
8.844512,0.0945025834026062
8.853574,0.0907170967909009
8.862636,0.0869183822635378
8.871698,0.083106439820516
8.88076,0.0792812694618357
8.889822,0.0754428711874975
8.898884,0.0715912449975009
8.907946,0.0677263908918458
8.917008,0.0638483088705328
8.92607,0.0599569989335611
8.935132,0.0560524610809316
8.944194,0.0521346953126439
8.953256,0.0482037016286974
8.962318,0.0442594800290931
8.97138,0.0403020305138302
8.980442,0.0363313530829094
8.989504,0.0323474477363304
8.998566,0.0283503144740934
9.007628,0.0243399532961979
9.01669,0.0203163642026441
9.025752,0.0162795471934316
9.034814,0.0122295022685613
9.043876,0.00816622942803232
9.052938,0.00408972867184548
9.062,0
